OBJECTID_1,OBJECTID,Id,RouteNum,RouteName,Color,ServType,PageOrient,Dest_1,Dest_2,Dest_3,GlobalID,created_us,created_da,last_edite,last_edi_1,Shape_STLe,Shapelen
57,100,1,244,Monroe,ParkAndRide,Park & Ride,P,Downtown,Monroe PR, ,{4E81C520-7AFD-4085-A9AF-B947EDCC0861}, ,,sn01,2016-03-31T00:00:00.000Z,273058.937257,273058.937257139
58,101,1,297,South Point-Monore-TMC,ParkAndRide,Park & Ride,L,Texas Medical Center,South Point PR,Monroe PR,{0244B7AD-52DB-4A93-83A3-9510AC061145}, ,,sn01,2016-06-06T00:00:00.000Z,302112.059973,302112.05997319
59,103,1,209,Kuykendahl-Spring,ParkAndRide,Park & Ride,P,Kuykendahl PR,Spring PR,Downtown,{65B6A1AC-3D8A-4FD2-84F7-51B36ACD544A}, ,,sn01,2016-06-30T00:00:00.000Z,337850.41128,337850.411284856
60,108,1,256,Eastex,ParkAndRide,Park & Ride,P,Downtown,Eastex PR, ,{86B8A923-4A27-4260-BB36-E5A705BF5FA6}, ,,sn01,2016-07-07T00:00:00.000Z,330449.45782,330449.457815691
61,109,1,202,Kukendahl,ParkAndRide,Park & Ride,P,Downtown,Kuykendahl PR, ,{3165B8A0-D64D-4E0E-9B4D-72F14DEA547B}, ,,sn01,2016-07-07T00:00:00.000Z,307413.68717,307413.687169955
62,112,1,229,Kingsland-Addicks,ParkAndRide,Park & Ride,L,Kingsland PR,Addicks PR, ,{D998B663-D904-4320-9868-9771B49C36A1}, ,,sn01,2016-07-07T00:00:00.000Z,290323.77881,290323.778809784
63,115,1,259,Kingwood-Eastex-Townsend,ParkAndRide,Park & Ride,P,Kingwood PR,Eastex PR,Townsen PR,{4027463E-14D8-42CD-8AF3-CF00E04379E2}, ,,sn01,2016-07-07T00:00:00.000Z,420955.459945,420955.45994489
64,117,0,412,Greenlink Circulator,Red,Shuttle,L,George R Brown Conv Ctr,Jefferson St, ,{D49F646D-013E-4148-83FC-81DE5BA411CB}, ,,sn01,2016-03-31T00:00:00.000Z,15228.1840503,15228.1840503291
65,119,1,228,Addicks,ParkAndRide,Park & Ride,L,Downtown,Addicks PR, ,{7F5422A5-E31A-4761-8263-5722A45FBC88}, ,,sn01,2016-07-07T00:00:00.000Z,410969.284187,410969.28418705
66,120,0,360,Peerless Shuttle,Green,Shuttle,P,Southeast TC,Del Rio St, ,{D8B677FC-E7FF-4AB0-87AA-2E2A051E02F4}, ,,sn01,2016-03-14T00:00:00.000Z,47964.8020975,47964.8020975631
67,122,0,399,Kuykendahl Shuttle,Green,Shuttle,P,Greenspoint TC,Kuykendahl PR, ,{90B691BC-7A8C-4F4F-B496-AE56273F530A}, ,,sn01,2016-04-29T00:00:00.000Z,34559.5154706,34559.5154706177
68,127,0,45,Tidwell,Blue,Local,L,Mesa TC,Hempstead Hwy, ,{FB19F347-BB47-47C7-9068-3C4D5695D6E0}, ,,sn01,2016-05-04T00:00:00.000Z,95891.3688898,95891.3688897631
69,164,1,170,Missouri City-SH 6,ParkAndRide,Park & Ride,P,TMC TC,SH 6-Missouri City PR,Missouri City PR,{7E377B80-E9EB-4781-8E84-5B4425B5CAF7},sn01,2015-12-08T00:00:00.000Z,sn01,2016-06-08T00:00:00.000Z,169753.890775,169753.89077513
70,599,0,311,Bayou City Event Shuttle,Green,Shuttle,P,Bayou City Event Center,Fannin South PR, ,{61FF5D16-05A4-4085-B640-A08ECB4360C6},sn01,2016-01-14T00:00:00.000Z,sn01,2016-06-10T00:00:00.000Z,7201.11182991,7201.11182990489
71,1015,1,212,Seton Lake,ParkAndRide,Park & Ride,P,Downtown,Houston Center,Seton Lake,{04060DFC-7E9F-4926-964F-3544EBCBF3E3},sn01,2016-02-01T00:00:00.000Z,sn01,2016-07-07T00:00:00.000Z,236301.093323,236301.093322701
72,1405,0,79,W Little York,Green,Local,L,Burnett TC,Antoine Dr, ,{61B11BFE-9F69-4E63-B9E5-B248572B1B11},sn01,2016-02-11T00:00:00.000Z,sn01,2016-06-15T00:00:00.000Z,111361.402843,111361.402843165
73,3008,0,413,Greenlink Circulator,Red,Shuttle,L,George R Brown Conv Ctr,Jefferson St, ,{12CE2313-33B8-44DB-8078-1C9B48B268E2},sn01,2016-03-31T00:00:00.000Z,sn01,2016-03-31T00:00:00.000Z,14372.0996535,14372.0996535126
74,3009,0,83,Lee Road JFK,Green,Local,P,Tidwell TC,North Belt, ,{CE003A6A-11EB-44CD-A2C1-C521C354DCF2},sn01,2016-04-20T00:00:00.000Z,sn01,2016-04-20T00:00:00.000Z,101008.82751,101008.827508997
75,4609,0,70,Memorial,Green,Local,L,Northwest TC,Brittmoore, ,{F8A1E42E-E126-4F48-82DE-9D0D9AED9E49},sn01,2016-05-10T00:00:00.000Z,sn01,2016-05-11T00:00:00.000Z,68112.7598646,68112.7598645859
76,5014,0,4,Beechnut,Red,Local,L,Eastwood TC,Mission Bend TC, ,{52D62782-2FB0-4430-B25B-DDA6C5B5A4ED},sn01,2016-06-06T00:00:00.000Z,sn01,2016-06-06T00:00:00.000Z,137177.183439,137177.183438921
77,5017,0,20,Canal Memorial,Blue,Local,L,Magnolia Park TC,Downtown,Galleria,{EBE4409E-7FB5-4A34-A17B-68277CCBA968},sn01,2016-06-09T00:00:00.000Z,sn01,2016-07-07T00:00:00.000Z,118480.80992,118480.809920915
78,5043,0,38,Manchester,Green,Local,L,Magnolia TC,Port Entrance, ,{92F005C8-D54D-463F-9285-060D5D1F628A},vw08,2016-06-16T00:00:00.000Z,sn01,2016-06-21T00:00:00.000Z,34976.0140665,34976.0140665244
79,5443,0,85,Antoine Washington,Blue,Local,P,Downtown TC,SH 249, ,{76DFF01F-AA6C-4616-9176-57DE2741FB11},sn01,2016-06-29T00:00:00.000Z,sn01,2016-07-05T00:00:00.000Z,53332.2647874,53332.2647873702
80,5450,1,222,Grand Parkway,ParkAndRide,Park & Ride,L,Downtown,Grand Parkway PR, ,{CA9127DE-0F12-4CC3-AF40-341B983417FD},sn01,2016-07-01T00:00:00.000Z,sn01,2016-07-01T00:00:00.000Z,342138.3869,342138.386902104
81,2,0,65,Bissonnet,Red,Local,L,Wheeler TC,Synott Rd, ,{69ED5F73-DE54-4EB1-A92F-F9EBBFEDB66E}, ,,sn01,2016-08-19T00:00:00.000Z,91998.4961065,91998.4961065007
82,5,0,402,Bellaire Quickline,Red,Local,L,TMC TC,Ranchester Dr, ,{000D76DD-BAEC-41C3-BAC9-50912B47C588}, ,,sn01,2016-08-18T00:00:00.000Z,56764.6306278,56764.6306277788
